TimeStamp,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-01-2024 08:45,19875,7345.7,7219.69,7219.69,10000,10000
01-01-2024 09:00,20939.9,7418.3,7292.3,7292.3,10000,10000
01-01-2024 09:15,20704.4,7471.8,7345.8,7345.8,10000,10000
01-01-2024 09:30,21208.9,8155.2,8029.2,8029.2,10000,10000
01-01-2024 09:45,21122.1,8274.4,8148.4,8148.4,10000,10000
01-01-2024 10:00,18786.4,8494.8,8368.8,8368.8,10000,10000
01-01-2024 10:15,17911.4,8457.7,8331.69,8331.69,10000,10000
01-01-2024 10:30,15459.4,8573.2,8432.6,8432.6,10000,10000
01-01-2024 10:45,15074,8712,8571.4,8571.4,9172.8,9172.8
01-01-2024 11:00,14810.6,9338.1,8916.8,8916.8,9500.14,9500.14
01-01-2024 11:15,14711.1,9450.1,8968.8,8968.8,6499.68,6499.68
01-01-2024 11:30,14239.4,9632.3,8820.3,8820.3,5270.03,5270.03
01-01-2024 11:45,13731.5,9754.5,8479.46,8479.46,4545.84,4545.84
01-01-2024 12:00,13265.5,9954,8066,8066,4244.21,4244.21
01-01-2024 12:15,13508.2,10185.4,8244.59,8244.59,4498.2,4498.2
01-01-2024 12:30,12895.3,10419,7842.4,7842.4,4010.91,4010.91
01-01-2024 12:45,11857.3,10940.3,7812.3,7812.3,3690.11,3690.11
01-01-2024 13:00,10699.6,12139.6,8024.9,8024.9,3273.24,3273.24
01-01-2024 13:15,10458.7,12583.1,7783.9,7783.9,3259.33,3259.33
01-01-2024 13:30,10985.4,12252,8311.5,8311.5,3273.06,3273.06
01-01-2024 13:45,11152.6,12316.1,8432.1,8432.1,3350.02,3350.02
01-01-2024 14:00,11319.1,12794.7,8350.3,8350.3,3440.35,3440.35
01-01-2024 14:15,11051.8,12718.1,8291.6,8291.6,3350.16,3350.16
01-01-2024 14:30,11463.8,12846.8,8276.2,8276.2,3540.98,3540.98
01-01-2024 14:45,11937.1,12739.2,8384.1,8384.1,3639.37,3639.37
01-01-2024 15:00,12792.2,12803.2,9036.4,9036.4,3797.27,3797.27
01-01-2024 15:15,13084.6,13014.2,9327.6,9327.6,3797.05,3797.05
01-01-2024 15:30,13737.9,12833.9,9382.6,9382.6,3797.03,3797.03
01-01-2024 15:45,13693.9,12818.6,9424.2,9424.2,3719.31,3719.31
01-01-2024 16:00,13313,10945.7,8652.45,8652.45,3964.23,3964.23
01-01-2024 16:15,14055.5,9883.3,8826.55,8826.55,4545.95,4545.95
01-01-2024 16:30,15791.6,9042.1,8832.1,8832.1,10000,10000
01-01-2024 16:45,15903.7,8031.4,7881.38,7881.38,10000,10000
01-01-2024 17:00,15637,7450.4,7318.38,7318.38,10000,10000
01-01-2024 17:15,15895.3,6935.8,6803.8,6803.8,10000,10000
01-01-2024 17:30,15919.6,6840,6708,6708,10000,10000
01-01-2024 17:45,16209.4,7454.9,7322.9,7322.9,10000,10000
01-01-2024 18:00,16418,8346.2,8214.2,8214.2,10000,10000
01-01-2024 18:15,16547.5,8628.5,8496.5,8496.5,10000,10000
01-01-2024 18:30,16414.3,8914,8782,8782,10000,10000
01-01-2024 18:45,16394.5,9065.7,8933.7,8933.7,10000,10000
01-01-2024 19:00,13548.9,9198,8570.9,8570.9,6336.49,6336.49
01-01-2024 19:15,13738.2,9426.4,8973.4,8973.4,9080.59,9080.59
01-01-2024 19:30,13023,10346.9,8880.89,8880.89,5300.22,5300.22
01-01-2024 19:45,12536.7,10749.9,8518.8,8518.8,5149.19,5149.19
01-01-2024 20:00,11516.9,11081,7971.6,7971.6,4498.88,4498.88
01-01-2024 20:15,11325.9,11194.9,7783.6,7783.6,4498.32,4498.32
01-01-2024 20:30,10611.9,11334.9,7187.7,7187.7,4199.27,4199.27
01-01-2024 20:45,9997.3,11564.1,6787.1,6787.1,3647.71,3647.71
01-01-2024 21:00,9228.2,12131.8,6463.6,6463.6,3080.67,3080.67
01-01-2024 21:15,8989.6,12519.3,6485.3,6485.3,3050.94,3050.94
01-01-2024 21:30,8674.4,12809.5,6213.1,6213.1,3050.82,3050.82
01-01-2024 21:45,8407.3,13305.9,6191.2,6191.2,3050.11,3050.11
01-01-2024 22:00,7724.3,14055.3,5534.5,5534.5,2850.47,2850.47
01-01-2024 22:15,7973,14962.9,5297.9,5297.9,2999.51,2999.51
01-01-2024 22:30,7873.2,15466.2,5195.5,5195.5,2999.91,2999.91
01-01-2024 22:45,7803.8,15876.5,4987.8,4987.8,3000.8,3000.8
01-01-2024 23:00,7651.8,16239,4915.1,4915.1,2950.91,2950.91
01-01-2024 23:15,7719,16228.3,5056.8,5056.8,3019.6,3019.6
01-01-2024 23:30,7507.4,16675.3,5027.9,5027.9,3018.98,3018.98
01-01-2024 23:45,7700.1,17475.9,5220,5220,3023.36,3023.36
01-02-2024 00:00,7903.4,17582.4,5238.4,5238.4,3007.64,3007.64
01-02-2024 00:15,7829.7,18199.5,5163.8,5163.8,3003.74,3003.74
01-02-2024 00:30,7676.4,18566.3,5101.4,5101.4,3000.54,3000.54
01-02-2024 00:45,7613.7,18990.9,5152.6,5152.6,2940.97,2940.97
01-02-2024 01:00,7542.9,19784.6,5326.9,5326.9,2850.82,2850.82
01-02-2024 01:15,7528.4,20285.4,5381.38,5381.38,2850.29,2850.29
01-02-2024 01:30,7505.1,20955,5532.4,5532.4,2580.31,2580.31
01-02-2024 01:45,7462.3,21193.6,5560.1,5560.1,2512.08,2512.08
01-02-2024 02:00,7478.5,21418.4,5641.78,5641.78,2500.49,2500.49
01-02-2024 02:15,7448.6,21581.7,5641.2,5641.2,2489.91,2489.91
01-02-2024 02:30,7441.4,21704.3,5633.8,5633.8,2489.88,2489.88
01-02-2024 02:45,7394.1,21841.6,5636.4,5636.4,2489.67,2489.67
01-02-2024 03:00,7298.4,21406.9,5414.2,5414.2,2540.69,2540.69
01-02-2024 03:15,7299,21404.6,5416.8,5416.8,2540.49,2540.49
01-02-2024 03:30,7297.7,21341,5347.6,5347.6,2733.42,2733.42
01-02-2024 03:45,7294.5,21230.9,5341.5,5341.5,2733.71,2733.71
01-02-2024 04:00,7312.4,20490.6,5274.69,5274.69,2830.39,2830.39
01-02-2024 04:15,7355.8,19890.8,5265.68,5265.68,2850.31,2850.31
01-02-2024 04:30,7363.6,19311,5387.7,5387.7,2733.6,2733.6
01-02-2024 04:45,7228.6,18562.3,5618.1,5618.1,2450.36,2450.36
01-02-2024 05:00,7753.9,17554.1,5784.9,5784.9,2899.22,2899.22
01-02-2024 05:15,8442.4,17058,6139.5,6139.5,3000.87,3000.87
01-02-2024 05:30,9431.5,15368.1,6753.9,6753.9,3142.03,3142.03
01-02-2024 05:45,10232.8,14477.9,7181.9,7181.9,3308.28,3308.28
01-02-2024 06:00,10564.9,12174.3,7222,7222,3631,3631
01-02-2024 06:15,11384.2,11161.4,7679.1,7679.1,3820.51,3820.51
01-02-2024 06:30,12424.9,9963.5,8230.95,8230.95,4000.44,4000.44
01-02-2024 06:45,13314,9831.4,8838.3,8838.3,4498.61,4498.61
01-02-2024 07:00,13442.9,9459.1,8747.4,8747.4,4498.53,4498.53
01-02-2024 07:15,16095.1,9848.1,9824.1,9824.1,10000,10000
01-02-2024 07:30,18082.7,9158.9,9134.89,9134.89,10000,10000
01-02-2024 07:45,18686.8,8775.7,8751.7,8751.7,10000,10000
01-02-2024 08:00,19656,8664.1,8664.1,8664.1,10000,10000
01-02-2024 08:15,21117.9,7565,7565,7565,10000,10000
01-02-2024 08:30,21870.6,6561.7,6561.69,6561.69,10000,10000
01-02-2024 08:45,21247,6519.4,6519.4,6519.4,10000,10000
01-02-2024 09:00,21950.5,6493.7,6493.7,6493.7,10000,10000
01-02-2024 09:15,21705.7,6237.1,6237.1,6237.1,10000,10000
01-02-2024 09:30,21984.8,7011,7011,7011,10000,10000
01-02-2024 09:45,22316.2,7051.4,7051.4,7051.4,10000,10000
01-02-2024 10:00,19539.7,7428.9,7420.9,7420.9,10000,10000
01-02-2024 10:15,18225.8,7469.8,7461.8,7461.8,10000,10000
01-02-2024 10:30,15708.6,7476.5,7453.9,7453.9,10000,10000
01-02-2024 10:45,15014.2,8163.6,8050.9,8050.9,8273.31,8273.31
01-02-2024 11:00,15003.1,9128.8,8798.32,8798.32,8999.37,8999.37
01-02-2024 11:15,14813.2,9141.2,8794.3,8794.3,7500.01,7500.01
01-02-2024 11:30,14500.8,8990.1,8389.8,8389.8,6000.16,6000.16
01-02-2024 11:45,14007.1,9106.5,8192.3,8192.3,5426.07,5426.07
01-02-2024 12:00,13120.5,9396.5,7689.6,7689.6,4545.74,4545.74
01-02-2024 12:15,12849.7,9549.4,7519.6,7519.6,4249.46,4249.46
01-02-2024 12:30,12565.4,9749.8,7281.1,7281.1,4110.41,4110.41
01-02-2024 12:45,11959.8,10317.6,7380.18,7380.18,4000.16,4000.16
01-02-2024 13:00,10571.6,11516.7,7331.4,7331.4,3490.72,3490.72
01-02-2024 13:15,10237.1,11956.5,7402.9,7402.9,3259.96,3259.96
01-02-2024 13:30,10921.8,11634,7653.2,7653.2,3560.69,3560.69
01-02-2024 13:45,11259.4,11720.7,7723.5,7723.5,3630.36,3630.36
01-02-2024 14:00,11387.2,12235.5,7706.8,7706.8,3630.85,3630.85
01-02-2024 14:15,11189.8,12212.4,7688.5,7688.5,3630.24,3630.24
01-02-2024 14:30,11536.8,12399.4,7766.6,7766.6,3752.46,3752.46
01-02-2024 14:45,11865.3,12347,8061.2,8061.2,3797.46,3797.46
01-02-2024 15:00,13687.3,12280.6,9393.8,9393.8,4106.6,4106.6
01-02-2024 15:15,13972.1,12519.5,9648,9648,4106.35,4106.35
01-02-2024 15:30,14804.3,12136.1,9866.3,9866.3,4106.92,4106.92
01-02-2024 15:45,15231.7,12170.4,10145,10145,4199.45,4199.45
01-02-2024 16:00,15130.3,9994.9,9355.3,9355.3,5183.98,5183.98
01-02-2024 16:15,15702.7,9056.4,8651.2,8651.2,6499.46,6499.46
01-02-2024 16:30,17165.4,7945.6,7780.6,7780.6,10000,10000
01-02-2024 16:45,17335.8,7100.1,6995.08,6995.08,10000,10000
01-02-2024 17:00,18445,6399.9,6332.9,6332.9,10000,10000
01-02-2024 17:15,19458.9,6171,6104,6104,10000,10000
01-02-2024 17:30,20054.5,6041.2,5974.2,5974.2,10000,10000
01-02-2024 17:45,20897.9,6641.4,6574.4,6574.4,10000,10000
01-02-2024 18:00,21472.6,6627.8,6627.8,6627.8,10000,10000
01-02-2024 18:15,21466.2,7017.4,7017.39,7017.39,10000,10000
01-02-2024 18:30,20886.3,7118.5,7118.48,7118.48,10000,10000
01-02-2024 18:45,19079.6,7183.5,7183.5,7183.5,10000,10000
01-02-2024 19:00,15867.9,7070.6,7070.6,7070.6,10000,10000
01-02-2024 19:15,16176.5,7278.5,7278.5,7278.5,10000,10000
01-02-2024 19:30,15049.8,7582.2,7582.2,7582.2,10000,10000
01-02-2024 19:45,14137.7,7863,7863,7863,10000,10000
01-02-2024 20:00,12637.7,8426.9,7429.7,7429.7,5999.9,5999.9
01-02-2024 20:15,11930.8,8684,7374.1,7374.1,5367.15,5367.15
01-02-2024 20:30,10955.6,8896.2,6730.8,6730.8,4822.4,4822.4
01-02-2024 20:45,10256.6,9178.7,6458.3,6458.3,4209.03,4209.03
01-02-2024 21:00,9390.6,10448.2,6349.9,6349.9,3909.35,3909.35
01-02-2024 21:15,9236.8,11265,6202.2,6202.2,3350.93,3350.93
01-02-2024 21:30,8819.4,11684.7,6060.6,6060.6,3142.87,3142.87
01-02-2024 21:45,8699.9,12416.4,5927,5927,3120.17,3120.17
01-02-2024 22:00,7892.2,13199.2,5421.8,5421.8,2940.42,2940.42
01-02-2024 22:15,8000.2,14039,5427.9,5427.9,2999.88,2999.88
01-02-2024 22:30,7793.2,14496.8,5221.4,5221.4,2999.32,2999.32
01-02-2024 22:45,7859.2,14881.9,5165.5,5165.5,3000.45,3000.45
01-02-2024 23:00,8181.4,15293.5,5110.6,5110.6,3110.89,3110.89
01-02-2024 23:15,8247.2,15600.7,5184.4,5184.4,3130.36,3130.36
01-02-2024 23:30,8071.7,16105.6,5268.9,5268.9,3091.44,3091.44
01-02-2024 23:45,8165.1,16702.6,5361.6,5361.6,3070.18,3070.18
01-03-2024 00:00,5931.4,19196.1,4817,4817,1999.66,1999.66
01-03-2024 00:15,5674.6,19696.3,4560.2,4560.2,1999.51,1999.51
01-03-2024 00:30,5658.2,20066,4543.8,4543.8,1999.54,1999.54
01-03-2024 00:45,5763.4,20258.2,4649,4649,1999.66,1999.66
01-03-2024 01:00,5692.7,21263.2,4578.4,4578.4,1999.49,1999.49
01-03-2024 01:15,5625.3,21678.7,4511,4511,1999.4,1999.4
01-03-2024 01:30,5514.4,22170.2,4400.1,4400.1,1999.34,1999.34
01-03-2024 01:45,5484.9,22637.3,4370.6,4370.6,1999.28,1999.28
01-03-2024 02:00,5428.3,23156.3,4313.1,4313.1,1999.2,1999.2
01-03-2024 02:15,5347.4,23511.4,4232.2,4232.2,1999.13,1999.13
01-03-2024 02:30,5356.8,23848.8,4241.6,4241.6,1999.13,1999.13
01-03-2024 02:45,5358.7,24012.7,4243.5,4243.5,1999.12,1999.12
01-03-2024 03:00,5282.2,23816.3,4167.3,4167.3,1999.04,1999.04
01-03-2024 03:15,5271.6,23933.5,4156.7,4156.7,1999.02,1999.02
01-03-2024 03:30,5254.5,23795,4139.6,4139.6,1999.01,1999.01
01-03-2024 03:45,5254.9,23651.4,4140,4140,1999.01,1999.01
01-03-2024 04:00,5272.9,22975.3,4157.9,4157.9,1999.05,1999.05
01-03-2024 04:15,5325.1,21928.5,4210.1,4210.1,1999.09,1999.09
01-03-2024 04:30,5272.3,20881.2,4157.3,4157.3,1999.01,1999.01
01-03-2024 04:45,5347.6,20037.3,4232.6,4232.6,1999.02,1999.02
01-03-2024 05:00,5396.7,19191.3,4300.87,4300.87,1870.16,1870.16
01-03-2024 05:15,5958.9,18650.5,4856.7,4856.7,1999.42,1999.42
01-03-2024 05:30,6908,16822.1,5357.36,5357.36,2800.46,2800.46
01-03-2024 05:45,7766.4,16014.1,6071.3,6071.3,3088.44,3088.44
01-03-2024 06:00,8375.4,13166,6645.2,6645.2,3378.63,3378.63
01-03-2024 06:15,9036.8,11394.6,7268.7,7268.7,3600.88,3600.88
01-03-2024 06:30,10425.5,10843.5,8303.4,8303.4,3820.42,3820.42
01-03-2024 06:45,11445.2,10902.6,8944.6,8944.6,4010.67,4010.67
01-03-2024 07:00,11675.9,9215.3,8695.1,8695.1,4498.57,4498.57
01-03-2024 07:15,13099.3,9598.2,9135.1,9135.1,5711.7,5711.7
01-03-2024 07:30,14955.2,9115.6,9063.5,9063.5,10000,10000
01-03-2024 07:45,17690.8,8385.5,8333.39,8333.39,10000,10000
01-03-2024 08:00,18397.3,8149.8,8116.69,8116.69,10000,10000
01-03-2024 08:15,19199.1,7084.5,7051.39,7051.39,10000,10000
01-03-2024 08:30,19360.7,6903.2,6870.1,6870.1,10000,10000
01-03-2024 08:45,18828.1,6718.3,6685.2,6685.2,10000,10000
01-03-2024 09:00,19801.4,6589.1,6556,6556,10000,10000
01-03-2024 09:15,21504.4,6861.9,6702.8,6702.8,10000,10000
01-03-2024 09:30,20387.1,7282.3,7123.2,7123.2,10000,10000
01-03-2024 09:45,20414.1,7393.6,7234.5,7234.5,10000,10000
01-03-2024 10:00,17306.7,7743.1,7583.99,7583.99,10000,10000
01-03-2024 10:15,16131.3,7989.2,7830.1,7830.1,10000,10000
01-03-2024 10:30,13255.9,8390.4,8216.7,8216.7,10000,10000
01-03-2024 10:45,12942.2,8309.3,8075.6,8075.6,9570,9570
01-03-2024 11:00,12560.3,9724.6,8722.5,8722.5,5270.12,5270.12
01-03-2024 11:15,12461.8,9758.3,8647.5,8647.5,5183.5,5183.5
01-03-2024 11:30,12173.2,9925.4,8471.4,8471.4,5000.79,5000.79
01-03-2024 11:45,11549.8,9985.2,8146.4,8146.4,4069.16,4069.16
01-03-2024 12:00,11000.4,10107.8,8071.71,8071.71,4000.18,4000.18
01-03-2024 12:15,10786.7,10313.7,7893.5,7893.5,3899.45,3899.45
01-03-2024 12:30,10794.1,10399,7889.42,7889.42,4000.05,4000.05
01-03-2024 12:45,10170.1,10605,7839.7,7839.7,3700.26,3700.26
01-03-2024 13:00,9398.8,11584.4,7487.4,7487.4,3259.07,3259.07
01-03-2024 13:15,9224.1,12321.9,7386.88,7386.88,3100.78,3100.78
01-03-2024 13:30,9835.5,12291,7924.8,7924.8,3259.1,3259.1
01-03-2024 13:45,9883.7,12699.5,7970.8,7970.8,3259.1,3259.1
01-03-2024 14:00,10201.2,12868.7,8291.8,8291.8,3259.58,3259.58
01-03-2024 14:15,9988.8,12661.1,8078.6,8078.6,3259.54,3259.54
01-03-2024 14:30,10157.8,12376.1,8268,8268,3260,3260
01-03-2024 14:45,10698.1,12245,8674.9,8674.9,3609.52,3609.52
01-03-2024 15:00,10919.5,12428.1,8786.7,8786.7,3609.3,3609.3
01-03-2024 15:15,11048.5,12488.7,8939.1,8939.1,3541.92,3541.92
01-03-2024 15:30,11640.5,12414.6,8931.2,8931.2,3541.73,3541.73
01-03-2024 15:45,12144.4,12395.9,9362.2,9362.2,3541.87,3541.87
01-03-2024 16:00,12108.1,10419,8876.3,8876.3,3964.76,3964.76
01-03-2024 16:15,12240.1,9573.8,8461.8,8461.8,4227.44,4227.44
01-03-2024 16:30,14209.3,8198,8029.88,8029.88,10000,10000
01-03-2024 16:45,15080.4,6901.2,6793.1,6793.1,10000,10000
01-03-2024 17:00,18074.6,6143.3,6120.19,6120.19,10000,10000
01-03-2024 17:15,19361.5,5693.6,5670.5,5670.5,10000,10000
01-03-2024 17:30,19708.6,5845.7,5822.6,5822.6,10000,10000
01-03-2024 17:45,20543.9,5943.5,5920.4,5920.4,10000,10000
01-03-2024 18:00,19191,7042.7,7019.6,7019.6,10000,10000
01-03-2024 18:15,18438.8,6994.1,6971,6971,10000,10000
01-03-2024 18:30,17628.5,7064.3,7041.19,7041.19,10000,10000
01-03-2024 18:45,16993.3,7178.2,7155.09,7155.09,10000,10000
01-03-2024 19:00,14542.3,7201.9,7170.8,7170.8,10000,10000
01-03-2024 19:15,14439.4,7317.5,7286.39,7286.39,10000,10000
01-03-2024 19:30,12466.3,7847.4,7816.3,7816.3,10000,10000
01-03-2024 19:45,11420.7,8031.1,7788.1,7788.1,7629.64,7629.64
01-03-2024 20:00,10629.2,7868.6,7213.6,7213.6,5199.49,5199.49
01-03-2024 20:15,10344.9,8049.8,6935.1,6935.1,5150.05,5150.05
01-03-2024 20:30,9580.2,8418.2,6661.8,6661.8,4499.61,4499.61
01-03-2024 20:45,9105.5,9041.1,6459.5,6459.5,4049.29,4049.29
01-03-2024 21:00,8215.3,10230.1,6157.4,6157.4,3350.61,3350.61
01-03-2024 21:15,8107.7,11201.4,6194.7,6194.7,3142.34,3142.34
01-03-2024 21:30,7733.7,11449.6,6170.7,6170.7,3023.08,3023.08
01-03-2024 21:45,7357.4,12221.2,6009.9,6009.9,2999.39,2999.39
01-03-2024 22:00,6742.2,13305.3,5457.07,5457.07,2450.88,2450.88
01-03-2024 22:15,6814.8,13947.7,5247.25,5247.25,2800.07,2800.07
01-03-2024 22:30,6635.2,14376.7,5075.9,5075.9,2750.06,2750.06
01-03-2024 22:45,6319.9,15138.6,4937.8,4937.8,2500.53,2500.53
01-03-2024 23:00,6200.5,15711.1,4699,4699,2500.5,2500.5
01-03-2024 23:15,6139.3,16272,4626.3,4626.3,2500.57,2500.57
01-03-2024 23:30,6001.2,16692.3,4591.9,4591.9,2499.81,2499.81
01-03-2024 23:45,5903.7,17389.7,4585.89,4585.89,2120.47,2120.47
01-04-2024 00:00,7746.4,18406.8,5415.77,5415.77,2900.43,2900.43
01-04-2024 00:15,7847.2,18863.1,5487.38,5487.38,2900.98,2900.98
01-04-2024 00:30,7669.6,19392.5,5573.42,5573.42,2830.07,2830.07
01-04-2024 00:45,7690.8,19729.3,5618.46,5618.46,2800.53,2800.53
01-04-2024 01:00,7615.9,20617.7,5853.5,5853.5,2500.09,2500.09
01-04-2024 01:15,7570,21139.7,5814.5,5814.5,2499.34,2499.34
01-04-2024 01:30,7577.9,21814.6,5822.9,5822.9,2483.18,2483.18
01-04-2024 01:45,7494,22325.3,5838.56,5838.56,2360.83,2360.83
01-04-2024 02:00,7422.9,22750.4,5857.07,5857.07,2340.44,2340.44
01-04-2024 02:15,7433.7,23021.5,5865.77,5865.77,2340.5,2340.5
01-04-2024 02:30,7354.1,23322.7,5885.3,5885.3,2100.97,2100.97
01-04-2024 02:45,7326.7,23510,5914.62,5914.62,2012.9,2012.9
01-04-2024 03:00,7282.2,23718.3,5947.48,5947.48,2000.4,2000.4
01-04-2024 03:15,7225.8,23807.6,5904.1,5904.1,1999.96,1999.96
01-04-2024 03:30,7262.8,23837.4,5946,5946,1999.99,1999.99
01-04-2024 03:45,7262.4,23685.4,5945.6,5945.6,1999.99,1999.99
01-04-2024 04:00,7492.6,22882.5,5962.02,5962.02,2280.08,2280.08
01-04-2024 04:15,7603.8,21844.2,5973.03,5973.03,2280.74,2280.74
01-04-2024 04:30,7680,21272.4,5983,5983,2310.23,2310.23
01-04-2024 04:45,7782.1,20356.8,6005.06,6005.06,2360.9,2360.9
01-04-2024 05:00,8076.5,19512.7,6104.32,6104.32,2850.93,2850.93
01-04-2024 05:15,8834.6,18917.4,6604.4,6604.4,2997.72,2997.72
01-04-2024 05:30,9800.7,17090.4,7253.7,7253.7,3091.28,3091.28
01-04-2024 05:45,10751.8,16126.1,7782.01,7782.01,3200.07,3200.07
01-04-2024 06:00,11809.8,13543.9,8174.8,8174.8,3630.83,3630.83
01-04-2024 06:15,12820.4,12131.9,8680.2,8680.2,3820.67,3820.67
01-04-2024 06:30,14054.3,11305.5,9383.91,9383.91,4106.62,4106.62
01-04-2024 06:45,14781.6,10569.7,9754.5,9754.5,4500.77,4500.77
01-04-2024 07:00,15504.8,9216.1,8999.9,8999.9,5270.36,5270.36
01-04-2024 07:15,17508.7,9214.7,9203.7,9203.7,10000,10000
01-04-2024 07:30,19106.6,8925.6,8914.6,8914.6,10000,10000
01-04-2024 07:45,21554.1,8166.1,8155.09,8155.09,10000,10000
01-04-2024 08:00,22962.6,8189.7,8189.69,8189.69,10000,10000
01-04-2024 08:15,23967.2,6961.4,6961.4,6961.4,10000,10000
01-04-2024 08:30,23530.4,6855.9,6855.89,6855.89,10000,10000
01-04-2024 08:45,25247.3,6790,6790,6790,10000,10000
01-04-2024 09:00,25847.6,6694.6,6694.6,6694.6,10000,10000
01-04-2024 09:15,25671.6,6769.8,6769.78,6769.78,10000,10000
01-04-2024 09:30,25182.2,7289.6,7289.59,7289.59,10000,10000
01-04-2024 09:45,25299.6,7630.8,7503.79,7503.79,10000,10000
01-04-2024 10:00,22387,8175.3,8048.3,8048.3,10000,10000
01-04-2024 10:15,20673.9,8146,8018.99,8018.99,10000,10000
01-04-2024 10:30,17838.7,8314,8186.99,8186.99,10000,10000
01-04-2024 10:45,17401.9,8435.2,8308.2,8308.2,10000,10000
01-04-2024 11:00,16602,9413.7,9240.7,9240.7,10000,10000
01-04-2024 11:15,16438.3,9585,9314.5,9314.5,6500.42,6500.42
01-04-2024 11:30,16123.3,9530.9,9257.1,9257.1,6500.37,6500.37
01-04-2024 11:45,15641.2,9600.9,9106.8,9106.8,5500.21,5500.21
01-04-2024 12:00,15048.2,9773.6,8617.3,8617.3,5000.55,5000.55
01-04-2024 12:15,14726.3,9844,8640.7,8640.7,5000.23,5000.23
01-04-2024 12:30,13929.2,9974.4,8632.1,8632.1,4999.96,4999.96
01-04-2024 12:45,12794.5,10310.8,8514.71,8514.71,4498.95,4498.95
01-04-2024 13:00,11583,11616.5,8077.1,8077.1,3630.97,3630.97
01-04-2024 13:15,11342.8,12379.3,8312.3,8312.3,3630.23,3630.23
01-04-2024 13:30,12014.5,12406.6,8586.1,8586.1,3646.49,3646.49
01-04-2024 13:45,12301.4,12742.2,8697.2,8697.2,3639.48,3639.48
01-04-2024 14:00,12647.2,13258.1,9001.5,9001.5,3639.38,3639.38
01-04-2024 14:15,12570.1,13230.6,8904.2,8904.2,3630.66,3630.66
01-04-2024 14:30,13243,13416.9,9215.8,9215.8,3639.4,3639.4
01-04-2024 14:45,14210.6,13377.1,9993.9,9993.9,3797.91,3797.91
01-04-2024 15:00,14992.4,13019.5,10399.33,10399.33,4000.82,4000.82
01-04-2024 15:15,14959,13162.2,10511,10511,3828.4,3828.4
01-04-2024 15:30,15756.4,12719.4,10641.64,10641.64,4066.01,4066.01
01-04-2024 15:45,15817.7,12361.2,10631.21,10631.21,4026.82,4026.82
